"AccountIndustry","AccountName","AccountOwner","AccountId","Amount","CloseDate","DaysSinceLastActivity","ForecastCategory","Id","IsClosed","IsWon","OpportunityName","OpportunityAge","OpportunityOwner","OwnerId","RecordTypeName","StageName","Stage","LeadSource","StageSortOrder","TimeInStageDurationSeconds","Probability"
"Food & Beverage","Resourcesoft","Courtney Brown","001B000000WJDvcIAH",19687,"2019-04-05",47,"Pipeline","006B0000003WamOIAS","false","false","Resourcesoft 8",139,"Courtney Brown","005B0000003CnfVIAS","Simple","Closed Won","Negotiation","Fields Sales",7,4397969,90
"Biotechnology","Cipient Networks Inc","Jordan Wolf","001B000000SS3OhIAL",38754,"2018-10-25",138,"Omitted","006B0000003WamPIAS","true","false","Cipient Networks Inc 16",25,"Jordan Wolf","005B0000003CnfQIAS","Simple","Closed Lost","Closed Lost","Reseller",9,11821145,0
"Insurance","Connections for Business","Amy Shaw","001B000000SS3OvIAL",7751,"2019-01-17",120,"Omitted","006B0000003WamaIAC","true","false","Connections for Business 39",123,"Amy Shaw","005B0000003CnfgIAC","Simple","Closed Lost","Closed Lost","Reseller",9,10903920,0
"Construction","Greenleaf Produce","Ann Jones","001B000000SS3OxIAL",5000,"2019-03-15",25,"Commit","006B0000003WamdIAC","false","false","Greenleaf Produce 98",206,"Amy Shaw","005B0000003CnfgIAC","Channel (Partner)","Closed Lost","Negotiation","Reseller",7,18804357,90
"Entertainment","Hisco","Jordan Wolf","001B000000SS3P5IAL",23252,"2018-01-23",413,"Omitted","006B0000003WamrIAC","true","false","Hisco 24",147,"Jordan Wolf","005B0000003CnfQIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,24122201,0
"Media","Millennium Hotels & Resorts","Sheri Nunez","001B000000SS3P6IAL",9500,"2018-04-18",340,"Closed","006B0000003WamuIAC","true","true","Millennium Hotels & Resorts 107",45,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Lost","Closed Won","Reseller",8,29393178,100
"Energy","Atofina Petrochemicals   Port Arthur","Alicia Harrison","001B000000SS3P8IAL",50000,"2017-10-06",544,"Closed","006B0000003WamyIAC","true","true","Atofina Petrochemicals   Port Arthur 141",45,"Alicia Harrison","005B0000003CnfZIAS","Channel (Partner)","Closed Won","Closed Won","Reseller",8,46497797,100
"Biotechnology","Aerospan.com","Jordan Wolf","001B000000lwNnQIAU",50000,"2018-06-21",378,"Omitted","006B0000003WaoEIAS","true","false","Aerospan.com 86",175,"Jordan Wolf","005B0000003CnfQIAS","Simple","Closed Lost","Closed Lost","Other",9,24122237,0
"Education","Advantage Mobilty Outfitters","Jordan Wolf","001B000000WJDwIIAX",20750,"2019-03-11",33,"Best Case","006B0000003WaoPIAS","false","false","Advantage Mobilty Outfitters 230",148,"Beth Crawford","005B0000003CnfKIAS","Channel (Partner)","Closed Lost","Negotiation","Other",7,4397969,90
"Energy","Independent Technology Group","Rachel Reilly","001B000000lwNnVIAU",2400,"2018-12-15",95,"Omitted","006B0000003WaorIAC","true","false","Independent Technology Group 54",76,"Courtney Brown","005B0000003CnfVIAS","Simple","Closed Lost","Closed Lost","Reseller",9,32065468,0
